,LATITUDE,LONGITUDE
265,61.99511,129.80296
266,61.99874,129.77717
267,62.00164,129.77488
268,62.00131,129.7747
269,62.01017,129.7811
270,62.01303,129.77987
271,62.02596,129.76834
272,62.02728,129.7641
273,62.02751,129.76268
274,62.02829,129.75444
275,62.02801,129.75742
276,62.0278,129.75954
277,62.02904,129.7476
278,62.03011,129.74104
279,62.02999,129.74107
280,62.03004,129.74106
281,62.0305,129.74082
282,62.03057,129.74139
283,62.03059,129.74123
284,62.03098,129.74078
285,62.03123,129.74085
286,62.03074,129.74088
287,62.03062,129.7403
288,62.0278,129.73566
289,62.02771,129.73561
290,62.03227,129.73688
291,62.03766,129.72598
292,62.04148,129.72214
293,62.04144,129.72215
294,62.04333,129.72216
295,62.04751,129.71727
296,62.04232,129.72598
297,62.04277,129.72697
298,62.04238,129.72685
299,62.04238,129.72736
300,62.04239,129.72733
301,62.04239,129.72684
302,62.04222,129.72701
303,62.04272,129.72694
304,62.03411,129.74147
305,62.03383,129.7409
306,62.03362,129.74013
307,62.03365,129.74013
308,62.03469,129.75822
309,62.03468,129.7582
310,62.03483,129.75824
311,62.03783,129.75563
312,62.03784,129.75513
313,62.03883,129.75533
314,62.04138,129.7563
315,62.04156,129.75748
316,62.03811,129.75456
317,62.03794,129.7546
318,62.03766,129.7562
319,62.03815,129.75452
320,62.03762,129.7565
321,62.03756,129.75648
322,62.03603,129.75923
323,62.03566,129.75935
324,62.03546,129.7581
325,62.03441,129.75812
326,62.03442,129.75803
327,63.28175,118.35379
328,63.28173,118.35362
329,63.28176,118.35386
330,63.2817,118.35386
331,62.02541,129.71936
332,62.02553,129.71823
333,62.02789,129.71751
334,62.02862,129.71529
335,62.04368,129.72311
336,62.04906,129.72533
337,62.05016,129.72507
338,62.05257,129.72226
339,62.06241,129.71605
340,62.06035,129.7179
341,62.05629,129.721
342,62.05659,129.72089
343,62.04645,129.72919
344,62.02646,129.719
345,62.02691,129.7199
346,62.0254,129.71918
347,62.10946,129.7264
348,62.10941,129.73295
349,62.12785,129.75664
350,62.13545,129.77345
351,62.13554,129.77398
352,62.11939,129.80014
353,62.11517,129.80299
354,62.09221,129.79987
355,62.08233,129.79767
356,62.08756,129.80003
357,62.06874,129.81079
358,62.06872,129.81102
359,62.06867,129.81097
360,62.06875,129.81049
361,62.06691,129.816
362,62.06428,129.82066
363,62.0621,129.82146
364,62.06086,129.82184
365,62.05925,129.82368
366,62.06063,129.82198
367,62.06493,129.81979
368,62.06654,129.8175
369,61.99928,129.82758
370,62.04231,129.72599
371,62.03395,129.7411
372,62.03487,129.75829
373,62.03523,129.75848
374,62.02538,129.71922
375,62.02556,129.71895
376,62.0352,129.72587
377,62.03966,129.72098
378,62.04103,129.72202
379,62.05199,129.72295
380,62.04152,129.73286
381,62.02533,129.7188
382,62.10935,129.72691
383,62.10973,129.72552
384,62.11568,129.75094
385,62.08596,129.79946
386,62.07744,129.79802
387,62.07128,129.79455
388,62.06574,129.80392
389,62.06691,129.80717
390,62.06868,129.81097
391,62.06517,129.81964
