,LATITUDE,LONGITUDE
311,62.03522,129.73069
312,62.03437,129.73235
313,62.04654,129.72084
314,62.04061,129.72223
315,62.04214,129.72243
316,62.04383,129.7231
317,62.04832,129.71281
318,62.04627,129.72098
319,62.04235,129.726
320,62.04239,129.72688
321,62.04241,129.72733
322,62.04245,129.72719
323,62.0422,129.72732
324,62.04215,129.72706
325,62.03795,129.73445
326,62.03776,129.73486
327,62.03366,129.74014
328,62.0352,129.75824
329,62.03444,129.75793
330,62.03452,129.75825
331,62.03443,129.75831
332,62.03491,129.75822
333,62.03711,129.75751
334,62.03713,129.75748
335,62.0377,129.758
336,62.0393,129.75566
337,62.04048,129.75572
338,62.04152,129.7567
339,62.04145,129.75795
340,62.03971,129.75573
341,62.03986,129.75586
342,62.03998,129.75605
343,62.03948,129.75565
344,62.0376,129.75648
345,62.03623,129.75932
346,62.03524,129.75881
347,62.03546,129.75812
348,62.03489,129.75812
349,62.03519,129.75815
350,62.0344,129.75836
351,62.0345,129.75819
352,63.28167,118.35378
353,63.28178,118.35357
354,63.28181,118.35361
355,63.28173,118.35369
356,62.02525,129.71893
357,62.03476,129.72655
358,62.0325,129.72176
359,62.04385,129.72331
360,62.04471,129.72507
361,62.05102,129.7245
362,62.05016,129.72504
363,62.06225,129.71637
364,62.04632,129.73024
365,62.02728,129.71913
366,62.02557,129.71887
367,62.02555,129.71884
368,62.02552,129.71986
369,62.02538,129.71916
370,62.10937,129.72699
371,62.10846,129.73074
372,62.10974,129.72543
373,62.10937,129.73297
374,62.10933,129.73303
375,62.11359,129.7517
376,62.13036,129.75856
377,62.13107,129.78934
378,62.0822,129.79742
379,62.06871,129.81076
380,62.06874,129.81048
381,62.06779,129.81209
382,62.06717,129.81481
383,62.06663,129.81706
384,62.06607,129.81839
385,62.05975,129.82277
386,62.05931,129.8233
387,62.05879,129.82377
388,62.06156,129.82153
389,61.99037,129.88763
390,62.03164,129.74112
391,62.04219,129.72707
392,62.03366,129.7401
393,62.03454,129.75838
394,62.0408,129.75586
395,62.03526,129.75768
396,63.28183,118.35387
397,62.03515,129.72585
398,62.04582,129.72754
399,62.02697,129.71992
400,62.09955,129.8025
401,62.06869,129.81032
402,62.06744,129.81326
403,62.0663,129.81795
404,62.0663,129.81796
405,62.0601,129.82237
406,62.03461,129.75822
407,62.06667,129.81709
408,62.06218,129.8214
409,62.06717,129.81496
410,62.06852,129.81073
411,62.06755,129.8131
412,62.06742,129.8138
413,62.06633,129.81788
414,62.06444,129.82123
415,62.06447,129.82103
416,62.05901,129.82344
417,62.05688,129.82542
418,62.05596,129.82652
419,62.0604,129.82211
420,62.06005,129.82246
421,62.06526,129.81953
422,62.0672,129.79901
423,62.06669,129.79276
424,62.07451,129.79646
425,62.0816,129.79797
426,62.0686,129.79347
427,62.06665,129.7927
428,62.06741,129.79681
429,62.06563,129.80606
430,62.06633,129.81775
431,62.06369,129.82108
432,62.06068,129.82193
433,62.06417,129.82062
434,62.05769,129.82477
435,62.05817,129.82445
436,62.05872,129.82356
437,62.05946,129.82304
438,62.06,129.82248
439,62.06424,129.82067
440,62.06423,129.82068
441,62.06814,129.81374
442,62.04051,129.74835
443,60.57048,121.96356
444,60.57048,121.96364
445,60.57163,121.99179
446,60.57182,121.99773
447,60.57193,121.99878
448,60.57215,122.08615
449,60.57192,122.11484
450,60.57237,122.14035
451,60.57231,122.13511
452,60.5723,122.13443
453,60.57228,122.13444
454,60.57197,122.12353
455,60.57198,122.09245
456,60.57203,122.08803
457,60.57189,122.08251
458,60.57216,122.08089
459,60.57244,122.06446
460,60.57111,122.03597
461,60.57148,122.0147
462,60.57174,122.0013
463,60.57186,122.00276
464,60.57169,121.99225
465,60.568,121.93175
466,60.56778,121.87922
467,60.56789,121.88008
468,60.56787,121.87569
469,60.56804,121.87011
470,60.56939,121.78533
471,60.57044,121.74308
472,60.57624,121.70504
473,60.57819,121.69813
474,60.58095,121.68912
475,60.58155,121.6869
476,60.59108,121.66252
477,60.5969,121.65334
478,60.60508,121.64032
479,60.61186,121.62711
480,60.62705,121.5841
481,60.62703,121.58409
482,60.63159,121.56417
483,60.63443,121.54959
484,60.64005,121.52143
485,62.02612,129.69798
486,62.02285,129.69325
487,62.03435,129.72841
488,63.28451,118.3366
489,63.28423,118.33954
490,63.28293,118.33558
491,63.28611,118.35815
492,63.28464,118.39866
493,63.28452,118.40941
494,63.28465,118.3512
495,63.28854,118.37097
496,63.30641,118.4315
497,63.30665,118.43297
498,63.28443,118.34991
499,63.28388,118.34946
500,63.28389,118.34953
501,62.03864,129.72382
502,62.03611,129.7289
503,62.03651,129.72807
504,62.03466,129.72643
505,62.04461,129.72495
506,62.05521,129.7339
507,62.05613,129.73462
508,62.05618,129.73422
509,62.05556,129.73391
510,62.04287,129.72483
511,62.03473,129.71735
512,62.02713,129.70009
513,62.02667,129.69753
514,62.04293,129.72539
515,60.74459,114.92411
516,60.74567,114.92851
517,60.57211,122.15969
518,62.03443,129.7288
519,63.28405,118.34986
520,60.57201,122.09175
521,60.72248,114.927
522,60.72298,114.92651
523,60.72311,114.92635
524,60.72239,114.92712
525,60.72265,114.92706
526,60.72181,114.92449
527,60.72181,114.92426
528,60.7217,114.92409
529,60.72735,114.93347
530,60.72668,114.92935
531,60.73661,114.92497
532,60.74388,114.92444
533,61.97907,132.42587
534,61.96804,132.36864
