,LATITUDE,LONGITUDE
326,50.74557,37.01044
327,51.27613,37.53896
328,51.18615,37.36971
329,50.73101,37.08976
330,51.27952,37.50445
331,51.27768,37.50536
332,50.62905,36.57688
333,52.02367,39.20337
334,51.66649,39.24845
335,51.69465,39.26608
336,51.64584,39.24276
337,51.62073,39.23584
338,51.66242,39.24739
339,52.00851,39.21214
340,51.63892,39.24036
341,51.64636,39.12381
342,51.63773,39.16603
343,53.35557,38.1801
344,52.81114,38.29721
345,52.47224,39.3723
346,52.77811,38.39035
347,53.00605,38.22055
348,52.72108,38.51451
349,52.25002,39.06596
350,53.34534,38.18138
351,52.44707,38.78252
352,53.3553,38.18143
353,53.21552,38.21642
354,53.07194,38.177
355,52.47212,39.37227
356,52.21847,39.13178
357,56.23348,34.25786
358,56.23345,34.26095
359,56.23334,34.25766
360,56.23299,34.25767
361,56.233,34.2574
362,56.23291,34.25703
363,56.2329,34.25751
364,56.23309,34.25767
365,56.23363,34.25899
366,56.23321,34.2571
367,56.23352,34.2601
368,56.2332,34.25745
369,56.23291,34.25727
370,56.23347,34.25738
371,56.23368,34.26783
372,56.23307,34.25715
373,56.23341,34.26034
374,56.23354,34.25834
375,56.23337,34.25743
376,56.23439,34.26145
377,56.24095,34.26613
378,56.23295,34.25716
379,55.52593,36.31831
380,55.52599,36.31774
381,54.51154,38.17167
382,54.42317,38.18273
383,54.56713,38.16375
384,53.46918,38.12675
385,54.037,38.28031
386,54.03712,38.2802
387,53.6185,38.09086
388,54.43689,38.18379
389,54.54422,38.16406
390,53.4576,38.14549
391,54.02426,38.01194
392,53.86742,38.0678
393,54.36146,38.15488
394,54.43684,38.18375
395,53.61843,38.09087
396,53.77186,38.01066
397,54.24169,38.13393
398,53.77591,38.0042
399,54.64887,38.15742
400,54.3337,38.15442
401,54.26813,38.15833
402,54.79385,38.0954
403,54.30026,38.15653
404,54.053,38.03106
405,54.03716,38.28028
406,53.95744,38.01957
407,54.07099,38.16699
408,53.78466,38.00135
409,54.68042,38.15783
410,54.64461,38.15841
411,53.79537,38.01201
412,54.73872,38.15635
413,53.45956,38.14174
414,53.72394,38.04659
415,54.68055,38.1576
416,53.7365,38.04768
417,54.03,38.01429
418,54.07968,38.16706
419,54.06989,38.16673
420,54.69976,38.16253
421,53.88366,38.05096
422,53.77833,38.00226
423,54.68085,38.15763
424,50.72949,37.0937
425,56.23332,34.25786
426,56.23363,34.2574
427,56.01564,35.99543
428,54.68045,38.1583
429,54.81896,38.0469
430,54.24604,38.14106
431,54.54994,38.16274
432,54.55087,38.16279
433,54.38174,38.15491
434,53.99971,38.01273
435,54.52654,38.16807
436,54.07995,38.16641
437,54.57127,38.16424
438,53.76754,38.09969
439,54.43405,38.18513
440,54.03708,38.28028
441,54.59231,38.16761
442,54.6804,38.15801
443,54.62806,38.16176
444,54.7735,38.13446
445,54.51184,38.17144
446,53.94212,38.01938
447,54.38174,38.15489
448,53.57604,38.11172
449,54.82502,38.03996
450,54.44062,38.18222
451,53.212376,50.645424
452,51.28397,45.67222
453,51.52768,45.30047
454,51.53235,45.80252
455,51.73499,46.03616
456,51.99932,46.67678
457,51.90222,46.54506
458,51.88385,46.51344
459,51.9956,46.67302
460,53.17928,45.06057
461,53.18633,45.07034
